,station_id,date_from,date_to,altitude,latitude,longitude,name,state
1110,6346,2005-02-01,2021-12-31,531,48.207,11.2035,Maisach-Galgen,Bayern
1111,6347,2005-03-01,2021-12-31,305,50.0579,10.2972,Schonungen-Mainberg,Bayern
1112,7075,2005-02-01,2021-12-31,429,48.702,11.8493,Elsendorf-Horneck,Bayern
1114,7105,2005-06-01,2021-12-31,719,47.835,12.6548,Siegsdorf-Höll,Bayern
1120,7319,2005-03-01,2021-12-31,435,48.7374,10.7393,Donauwörth-Osterweiler,Bayern
1128,7350,2006-08-01,2021-12-31,585,49.1088,12.8231,Prackenbach-Neuhäusl,Bayern
1133,7369,2007-11-01,2021-12-31,475,49.1623,10.3661,Feuchtwangen-Heilbronn,Bayern
1134,7370,2006-12-11,2021-12-31,499,49.391,12.6838,Waldmünchen,Bayern
1139,7394,2006-06-01,2021-12-31,622,50.0315,11.9745,Wunsiedel-Schönbrunn,Bayern
1140,7395,2007-12-01,2021-12-31,351,48.6595,12.5388,Gottfrieding,Bayern
1144,7412,2006-10-01,2021-12-31,340,50.0083,9.4238,Neuhütten/Spessart,Bayern
1147,7424,2006-12-01,2021-12-31,457,47.7724,12.9073,Piding,Bayern
1150,7431,2007-11-01,2021-12-31,604,48.013,11.5524,Oberhaching-Laufzorn,Bayern
1157,13710,2008-04-01,2021-12-31,490,48.5734,12.2576,Landshut-Reithof,Bayern
1173,15555,2016-05-01,2021-12-31,815,47.8761,10.5849,Kaufbeuren-Oberbeuren,Bayern
1182,19087,1957-05-01,2021-12-31,645,48.8049,13.5528,Freyung vorm Wald,Bayern
