wkt_geom,fid,field_1,station_id,date_from,date_to,altitude,latitude,longitude,name,state,dtm-altitude
Point (10.38920000000000066 47.63620000000000232),58,726,3857,10/1/1993,12/31/2021,886,47.6362,10.3892,Oy-Mittelberg-Petersthal,Bayern,885.28
Point (11.68960000000000043 49.15100000000000335),59,728,3875,1/1/1950,12/31/2021,549,49.151,11.6896,Parsberg/Oberpfalz-Eglwang,Bayern,546.86
Point (11.53570000000000029 49.47769999999999868),60,745,3975,1/1/1950,12/31/2021,522,49.4777,11.5357,Pommelsbrunn-Mittelburg,Bayern,520.44
Point (12.10190000000000055 49.04249999999999687),61,764,4104,1879-01-01,12/31/2021,365,49.0425,12.1019,Regensburg,Bayern,355.02
Point (12.12800000000000011 47.87530000000000285),62,782,4261,1881-01-01,12/31/2021,442,47.8753,12.128,Rosenheim,Bayern,441.55
Point (11.10350000000000037 49.21620000000000061),63,787,4280,1/1/2002,12/31/2021,386,49.2162,11.1035,Roth,Bayern,385.69
Point (10.17319999999999958 49.3849000000000018),64,788,4287,6/8/1947,12/31/2021,415,49.3849,10.1732,Rothenburg ob der Tauber,Bayern,410.53
Point (13.31460000000000043 48.78320000000000078),65,806,4354,9/1/1985,12/31/2021,457,48.7832,13.3146,Saldenburg-Entschenreuth,Bayern,454.18
Point (10.00339999999999918 50.35179999999999723),66,811,4377,1/1/1965,12/31/2021,518,50.3518,10.0034,Sandberg,Bayern,510
Point (12.07910000000000039 50.18469999999999942),67,845,4548,7/1/2007,12/31/2021,608,50.1847,12.0791,Schönwald/Ofr.-Brunn,Bayern,607.39
Point (12.61749999999999972 49.16440000000000055),68,849,4559,5/1/1996,12/31/2021,398,49.1644,12.6175,Schorndorf-Knöbling,Bayern,396.13
Point (12.08709999999999951 49.32780000000000342),69,857,4592,1/1/1949,12/31/2021,356,49.3278,12.0871,Schwandorf,Bayern,356.37
Point (9.74039999999999928 47.57759999999999678),70,873,4704,5/1/1988,12/31/2021,508,47.5776,9.7404,Sigmarszell-Zeisertsweiler,Bayern,509.05
Point (13.02730000000000032 48.27179999999999893),71,875,4706,1/1/1981,12/31/2021,358,48.2718,13.0273,Simbach/Inn,Bayern,357.46
Point (12.55969999999999942 48.82750000000000057),72,897,4911,1883-01-01,12/31/2021,351,48.8275,12.5597,Straubing,Bayern,350.61
